comments,hate
솔직히 맞는 말. 기부는 유행 아니고 성유리정도면 꾸준히 기부하는 단체 있을거임. 지목당하면 인스타그램에 왜 안하세요? 하는 사람은 왜 그러는거임? 의무아니잖아ㅋㅋ 신경꺼ㅋㅋ,0
이쁘게 자고있음 찍을 수도 있고 올릴수도 있는거 이닌가 친한사이면,0
나이값 못하는 비호감 아지매...ㅉㅉ,1
난. 아~아~아~아~딸 이다.정부에서 국민훈장줘야되지. 않냐. 저출산에. 5명 인데.애국자,1
사쿠라는 얼굴만봐도 스타성 있는거맞아. 근데 시로마미루는 위안부사건보고 비호감됨 이런애는 데뷔조 넣으면안돼 그리고 나코는 왜2등인거냐? 키가 너무작아서 데뷔조들어가면 너무 언발란스해ㅡㅡ,1
먹을거잘사주면 좋아합니다 사랑해 울조카님들,0
206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요,0
오늘 기대기대,0
아는형님에서 장성규한테 발린애 ㅋㅋ,1
애를낳았으면 당연히 아줌마지 애엄마가 어때서.....,1
ㅋㅋ 작가 소설과 연기자들 연기에 놀아나는꼴이 개꿀쟁이네,0
ㅅㅅ 한게 자랑? ㅈㅅ로 그것도,2
보기 싫음,1
발 빨구싶다.이뻐 핰,2
전쟁기념관 가는게 이제 추세여?,0
한혜진 때도 맞췄듯이 전현무 입장에선 걍 데리고놀다 버릴 급. 그이상 노노. 절대 결혼까지 안간다고 장담한다. 여자가 바보다. 카사노바와 공개열애라니ㅎㅎ시집잘갈 앞길 막혔다고 본다....,1
진짜 미친 나라네,1
별것도 아닌거로 추방이래.자기가 만난 사람들이 다 성형했다잖아.이딴거로 청원하지마라.할일도 없냐,1
한주는 전현무나오고 다음주는 한혜진 나오고해라.어짜피 프로그램컨셉이 조우출동인데 뭘,0
47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ,0
근데 학폭 미투 창피하지도 않나? 나 학교다닐때 찐따였소 동네방네 소문내고 다니는거 아님? 찐따가 한을 품으면 오뉴월에도 서리가 내린다더니 효린은 재수없게 발목 잡힌거같아 안타깝군.,2
한혜진편 개꿀잼...모델이니까 가능한 출사다 정말,0
총공팀이 뭐냐 진짜 오글거린다 적당히해라 진짜 뭐든지 적당히 해야지,0
그래도 인정하는 모습이좋네,0
아니 근데 아직 성추행이라고 정확히 결론난것도 아닌데 왜 맨날 연예인쪽만 신상 다 까발려져서 여론을 형성하냐. 결론난 다음에 까발려져도 되잖아. 이러고서 무고죄로 판결나면 이렇게 이미지 깎아먹고 스트레스 받은건 누가 책임짐,1
ㅋㅋㅋㅋ재미로 사람인생을 조지려 햇다는거내.... ㅋㅋㅋ법이 이따구로 벌금 맥이고 끝내니깐 재미로 저러지....남의 인생 조지려 햇던 저분들 인생 조져 주새요....,2
싱글처럼젊던데 결혼하셨구나 축하해요 !!연기도 더하시짘ㅋㅋㅋㅋ,0
불현한 애들 대부분 쿵쾅이들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 남자들이 불편해 하겠냐 ㅋㅋ,2
조보아 정법나온거 안본 남자있냐?,0
방송 나올때 너무 이뻤어요~,0
노무현. 김대중 세월호는 건들면 안되고 이승만 박정희 전두환은 욕해도 되고 ㅋㅋ기준이 뭐냐???,1
안희정 따라잡기 냐?? 한번 거짓말이면 나도 안희정 처럼 될수 있다야?,1
나만 황제좋은거 아니었구나...ㅠㅠ,0
승기 이제 노랜 안하냐?,0
모쏠들 천국인가 남녀사이에 친구가 없긴뭐가없어 니들핸드폰에는 이성전화번호하나도없냐?남사친 여사친?남녀사이에 친구가 될수없는경우는 사겼다가 쫑난상태에서는 절대친구가 될수없다가 맞지ㅎㅎ,2
너 코 새로했지??예전보다 이번코가 더이쁘네,1
트럼프나 프란치스코교황까지 빨갱이로 만드네ㅋㅋ대체 뭘 쳐먹었길래 다른세상을 살고있는지ㅋㅋ,2
계속 버티는거 보면 이 인간 인성이 나오는거지,1
정말 축하드려요 그 나이에 임신 성공하기 쉽지 않은데 하늘이 도왔나봅니다..,0
정신병 개많네 ㄷㄷㄷㄷㄷ반일감정이 뇌를 지배함 근데 일본여행은 개꿀임,2
여러분 절대 보지마세요.. 드럽게 재미없는 3류영화입니다 !!!,0
중환자실이면 살아도 죽은것이여,0
도끼가 얼핏 비호감(?) 스러운 언행을 했을지 몰라도 실상 보자면 쇼미도 심사위원에서 도끼 더콰이엇 빠진 이후로 질이 급락;;했고.... 힙합계에서 이정도로 신사적으로 깔끔하게 음악 한 사람도 별로 없어요,0
이거 무슨 방학숙제 같은데,0
전형적인 한국의 아줌마상이지...,2
이 방송 없어졌으면....,0
상영관 독점 너무 심하던데 오히려 반감들어서 안보게 됨..,0
강한나가 훨씬 아깝다! 짱께는 잘생겨도 냄새난다!,2
2년 사귀었으면 ... 서로 온몸의 점 위치까지 다알 듯 ㅋㅋㅋ,1
38세48세로 잘못적은거아닌가ㅋㅋㅋㅋ할정도로 동안이네요~~~,0
아니 무엇보다 그냥 안재현미모가 젤 오짐,0
오늘안으로 목메달아 자to살하시길 유가족에 대한 사과의 뜻으로 ✔,2
"연예인한테 투자 가능하다면,난 세호한테 올인.",0
난 영상 보고 어 민호 닮았네!하고 생각했는데......,0
나이를 초월한 사랑...솔직히 아름답다.,0
웃프다. 탈모로 가발 쓴 역 맡았네 ㅋ,1
한채아가 예뻐긴 예쁜갑네 질투한는 애들만네ㅋ,1
이 영화 언플이 왜이렇게 많은것같지 개봉은햇나,0
이선정씨 공항장애앓았다는게 안타값네요.근데 요즘 언제부턴가 공항장애가 연예인병이 된것같음......너도나도 공항장애 앓는다하시니.........,1
"걍 이병헌 싫어하는 감정때문에 빼액대는거지, 연기로 따지면 여기 댓글들이 말하는 강동원이나 김남길이 상대가 되냐. 이병헌 사생활은 그렇다쳐도 연기는 송강호, 김윤석급이랑 노는 급인데 ㅋㅋ",1
드뎌 김종국 짝을 만나듯 이제 남자답게 고백만 남았다,0
에휴.. 니들이 초등학생들이냐? 히어로물 보면서 우와우와 거리냐? 한심하다 ㅉ,1
진짜 아이오아이에서 김범수 빼곤 다 사라지네...,0
지우사마 행복하게 잘 사세요.,0
여자를 완전 쓰레기로 만드네.. 내 아기라면 책임 지겠다? 읽은 사람이 기분 더러워지네.,2
웬지 박명수는 슬프다고 하면 거짓말 같이.느껴짐 ~~ 왜일까?,1
역시 누구랑 다르게 수상소감이 다르다. 어제 후보 들러리 세운다고 분위기 망치고 난장부린 사람이랑은. 대상은 역시 차원이 다름,1
일베쓰레기. 지금 정상화 되어가는 과정과 선한 사람들이 맘에 안들고 싫으면 그냥 이민가라. 관종짓도 이쁘게 해야지 원. 징그러운 새퀴들.,2
에이미.. 넘 이상한것 같음..,0
여상진샘 수리논술 천재~^^,0
기안 왜안나오고 어쩜 한마디 언급도 없고 기안없으니 재미도 없고 쌈디 기안 없으면 나혼자산다 재미없다고 본인 입으로 말하면서,0
180이하 호빗 한남들은 결혼 하지마셈 ㅋ 돈없으면 연애도 하지마셈 ㅋ 니들 호빗 유전자 받아서 고통받을 네 후손은 뭔죄임?,2
악플 달시간에 잠이나 자라 보기싫음 안보면 되고 듣기싫음 귀닫음 되는일을 굳이 댓글다는 인간들아~~너네는 얼마나 제대로 된 삶을 산다고 여기까지와서 악플 다냐,0
어깨 올리고 바보같은 표정과 행동만 안하면 참 좋은데,1
으ㅡㅇ음.. 이솜도이쁘지만.... 꽃이지고나서야 봄이온줄 알았읍니다... 그립읍니다 김고은님..,0
꾸준하게 비추누른분들 누구 팬들인지 아주 티나죠...ㅋㅋㅋ,1
노무현이 박일도다,1
육성재가아닌게 어디냐ㅠㅠ 이창섭은 노상관 ㅋ,0
연예인들 다들 필라테스 하나 보네 재미 있나?,0
검찰 개혁 꼭 해라,0
다 방송이고 대본이에요 ㅋㅋ 땡깡좀 부리고 해야지 재밋지,0
설마 홍자쪽에서 담근건 아니겠지,1
니들 임신한것까지 알아야하냐,1
걸래도 이런 걸래는 없다,2
안녕하세요 하느님 드라마 아직도 생생함,0
가운데사람 누구지?군인이 립스틱까지바른건가??,1
토니는 왜 있는지??? 그 자리 국헌이가 있어야하지 않나 싶네요 ㅠㅠ 화이팅 ! 항상 응원할게요,1
남자는 키크고 피부좋고 돈많고 능력있고 성격 싸이코패스나 소시오패스만 아니면 됨,1
근데 불친절한알바들보면 때리고싶긴하던데,2
우리엄마걸고 맹세한단뜻임 10선비들 ㅈ l이랄 하지마셈,2
능력도 있는데 20대 여자랑 결혼했으면 좋을텐데,1
아이유 따라하지마,0
예전에 김성수랑 혜빈이엄마랑 혜빈이 돌도 안됐을때 가족관찰예능 같은거 나왔던걸로 기억하는데.. 그거 즐겨봤었어서 사건때 충격이 컸어요.,0
진짜 진리는 남자는 재력 여자는 미모인데 되도않는 것들이 넷에서만 피터지게 싸우네 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
김건모 가 부릅니다. 도자기 처럼 깨진 사랑.,1
예서는 못생겼는데 못됐고 혜나는 예쁜데 못됐고 둘다 연기 잘하지만 내게는 그차이,0
손승연 실력은 소향과 동급이라고 봅니다.,0
왠 쪽발이를 출연 햇지 시국이 참나 불쌍한지만,2
광희야 방탄 대신 군대 10년만 더 갔다오자 애국하는거야,1
수아가 불쌍하다 납치되서 20년을 힘들게 살고 남자놈은 수아버리고 민채린한테 가서 다리에서 뛰려고했다 수아가 저둘때메 눈안뒤집히겠냐 그리고 수아정체알고도 부모와못만나게 한채린이를 알게된다면 그집서쫒겨나야죠,0
딱봐도 그냥 듣보잡이 이름좀 알려보려고 검색어에 좀 올라가 보려고 스탭한테 머리채좀 잡아달라고 한거네,1
기부 하는거 정말 좋은일이긴 한데 박수홍 기부 검색한번 해보시길...저렇게 광고하듯이 하는거보다 박수홍처럼 했으면 좋았을텐데..,0
자살 언제하냐?,2
오늘 종혁자한 안나와서 좀 아쉬웟지만 그래도 잼있게 잘봣습니다 ~,0
남자들이 딱 싫어하는 스타일이네,1
남자가 참 못났다.,1
헨리 지한가할때만 나왔다 안나왔디 고정으로 나오는것도 아닌데 빼라 씸디나와서 더 재밌음,1
하하 플러스 유재석 너무 질린다 ㅡㅡ,0
시집안갈꺼야? 살빼ㅠㅠ 더 예쁠텐데,1
승관보면 문희준보는거같음,0
쟝르를불문한 막장드라마의귀재 김순옥존경스럽네 일부러 재방 몇번봤다 그만좀나와라 쓰레기작가 너때문에내가볼게없다 그만기용해라 쓰레기 방송사야,2
좀 겸손해져라,0
여성비율 69 아줌마들아 좀 징징대지마라급식년들도 마찬가지고 역사배경지식이 아무것도 없으니 재미가 없지 허구헌날 달달핰 로코 만 쳐보니까 비주얼 쩔고 젊은 남자가 나와서 니들 판타지 만족시켜줄 드라마만 찾지ㅉㅉㅉ,2
조선절세미녀 잘 살아요.,0
아이 귀여워~~ ^^,0
오늘 박효섭이 유하가 내딸이라 했고 나중에 정은태가 은수가 내딸이라 하겠네ㅋㅋㅋ 이 드라마의 주제는 딸밍아웃ㅋㅋ,0
복길이도 반할만 해요,0
"돼조이 얼굴 개빻았고 표정은물론 발성,발음 다 질질새고 눈 게슴츠레뜨는거 극혐임",2
역시 막장,0
아 ...씨 지금 나라 상황이 ...네이버 순위조작인가?,1
네 다음 철구랑 어울리던분,0
민간인 사망소식도 기사에 올라오네 ;;,1
나같으면 애한테 미안해서라도 개 안키우지 최소한의 엄마로써 미안함이 잇다면,1
똑똑하고 겸손한 알베르토.,0
내가 제일 싫어하는 사람이 현빈 손예진 아까워,1
심하지도않고 머리카락 몇개던데진짜 예민하네,1
매니저님 볼때마다 성혁 생각남 장보리 문지상,0
저는 원테이블 응원합니다.욕먹고 힘들어도 조언을 잘 받아들이고해내려는 모습이 아름다워요잘될겁니다. 화이팅!!,0
알츠하이머 환자는 가족이 돌보는데 한계가 있어요. 전문요양병원에서 돌보시고 가족은 병문안가시는게 좋은데. 잘 하시리라 믿어요. 그리고,0
딴사람이네 얼마나고친거야 옛날얼굴이난데 가슴도 했구만모,1
박나래 너무오바하지마 . 시끄럽고 거슬린다..ㅡㅡ송가인뜬금없네,1
정말 예뻐진건 사실이네요. 여신 여주인공 다 가능한 미모로 다시 태어났네요. OOO스럽지도 않고 정말 성공한 성형인데 더이상은 손대지 말고 잘 유지 하셨으면 좋겠어요,1
연들도 잘못된거아니냐? 그밤에 남자집으로 술쳐묵하러간게 이게 정상이냐구 그연들두 낮짝공개해라 평생 연애 결혼못하도록!,2
노래 참 잘하고 성실함이 보이네요.응원♡♡♡,0
메니저님 확실하게 공적으로만 만나세요.,1
기사내려라 고아의대한 예의도없네,1
재미로하지말고 유익하게진행해보세요 ~~서장훈 추천,0
저런 개인적인 걸 왜 공개된 곳에 올리는지 이해가 안간다.서로 해결해야지 결국 한명한테.이지매 해달라고 부탁하는건가?,0
남녀를 떠나 만 16세 이상인가는 합의하에 성관계해도 불법이아닌데 뭔상관... 돈있으면 일찍 결혼해서 일찍 애낳아 남들보다 중년때 즐기고살기 더좋겠구만,0
군대생활도 기계가 할거나?,0
아프지마 장디매ㅠㅠ!!!,0
별걸갖고 다... 서다보니 밀려 저렇게 됐을수도...,0
"그와중에 박수홍씨언급은 없네용 바쁘셨나 , . 힘내세요코디 . 삼가고인의명복을 빕니다",0
이제 끝물인데 뭐ㅋㅋ이번주말까지라도 상영하면 다행임 130만명 정도 시마이 무슨묵은지도 아니고 3년 담가놨다가 승기전역하니깐 전역빨로 드리미냐? 호군지 아냐?,1
예쁜데요~!! 효린 옛날 사진은 대박이던데~ㅋㅋㅋㅋ,0
환하나 지독한 인간 인 것 같네요. 박유천은 피해자이다. 이외에도 더 많은 피해자가있을 것이다. 그들을 구원하기 바란다.,1
어디 여자가 팔에다 문신을 해?,1
저 집 막내딸이 되고싶다,0
필모씨부인 좀 그만 돌려 그러다 깨진다진심 걱정,1
역시 고딩때 놀던 애들이 결혼도 늙고 돈많은 남자 잘 물어서 간당께. 고딩때 겁나 다 주고 다닌거 왠만한 울산 사람은 다 알지 ㅋ,2
사람을 우습게 생각해도 유분수지...저게 뭐야 화사 저 옷 입고 저런 표정 지은 적 한번도 없음 가볍다 가벼워,1
역시 춘향이보다 맛,1
파이란나올때 여신미모 장백지 팬이였는데 ~~항상응원합니다 ~~행복하시길,0
이분 연기는 악마를보았다에서 보고 좀 실망.,0
25년전이면 한참 팔팔할때.. 오달수도 아마 이십대 초반.. 서로 어렸을때 반콩깠던거 같은데..저렇게 따지면 이세상에 성범죄자 아닌인간이 있을까 무섭다,1
유느님을 건딜다니 확. 폭팔시켜버릴까,1
ㅋㅋㅋㅋㅋㅋㅋㅋ 면허증 개같이땄넼ㅋㅋㅋㅋㅋㅋㅋ,2
빚 갚으셨음?,1
난안본다 관심이없다 일박이일 좀 끝내라 사람이 그만둘때도 알어야하는데 에구다,1
마른사람이 저런사람보다훨씬않좋고 불행이다 뺄살있는것도 복이다 그리고원래는 찌우는게 훨씬더 어렵다이것만알아둬라 남자건여자건마른사람이 뚱뚱한사람보다 훨씬불행하다는것,1
17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다,0
동명인 걔 예쁘던데 걔 때문에 니가 떡으니 고마워 해라 ‼️‼️,2
이쁘긴 한데 매력호감 1도 없는 ㅜ매력이 중요해 특히 배우들은,0
막장도 너무 막장이더라. 주동민 같은 트렌디한 피디가 연출 안했다면 욕 엄청 먹었을 드라마 같네요. 피디가 아까움.,1
"다나 이쁜데 기자가 질투하는 모양새 말 장난 날개 못 다나? 이런게 기사 제목? ㅋ 다나 까지 마라. 착하고 성실하다 이기. 어릴때부터 응원중 , 다나는 단아하다 이기.",1
탁재훈추천..입담은 진짜 최고인듯ㅋ,0
솔직히 민아 줮나어중간하긴해.. 키도작아 바스트도 약해 . 연기도못해 노래도못해... 그나마 데뷔전에 얼굴만볼때 그때가 더좋앗던거같다..,1
이하이 언제 월드스타되냐? 작고 못생긴 뚱보일뿐.월드스타는 될수없을듯..,2
두자매 비호감,0
우아 지오누나를 비방하더니 ㅋㅋㅋㅋ 이젠 생시람잡네 보수집권 멸망 아베대변인 주적은 북한이지만 니넨 쪽바리 제일 나쁘다는걸 명심해라,2
김태링 위사진표정귀엽다..,0
나래가 차려놓은 밥상 전현무가 작년에 대상탔음.. 무큐리가 뭐가 잼있냐.. 전현무는 예능감은 없어...,1
꿀잼 ㅠㅠ,0
간통죄 폐지다 고로 법적으로 홍상수랑 김민희 사귀는건 아무런 결격사유가 없다...한번 사는인생 사랑하는 사람이랑 사겨야지 자식있다고 의무감으로 부인이랑 살 필요없다고 본다...난 홍상수 이해한다,1
헨리 넘 착하고 순수행 ㅠㅠ,0
이승기는 이제 나영석 머릿속에 없는건가요,0
야 다들 오바 좀 하지마라,0
"사진보니 백종원, 소유진 아버지라고 해도 믿을듯",1
솔직히 음악성으로만 따지면 빅뱅한테 한참 밀리는게 팩트인것 같아,1
송창의 이유리 너무좋음,0
그래도 이번 시즌은 바다와 똑같은 모창자가 우승해서 다행이네요 예전엔 모창보단 가창에 중점을 둬서 의외의 우승자가 나왔는데....,0
호란누나 이제 면허 못따자녀 속상해,0
잘주는 애들? 남자들 흔한대화 아녀?그게 왜 성접대야?,2
와 진짜 엄청 욕먹네 난 이제는 안쓰럽다,0
조상이 죄를 많이지니 후손이 살인을 하고나 죽어가지,1
로코 대사를 잘 못 살려 연기가 재미가 없음ㅜㅜ,0
박명수 저 시키나 없애라.진짜 방송 처 하기 싫은거 바로 티난다.완전 거저 먹고 자빠졌네.,1
옥탑방 문제인 아들로 보고들어옴,2
성매매는 범죄라고 하면서 본인들이 다는 악플로 인한 명예훼손 모욕은 범죄가 아닌 척 하시는 분들은 뭔가요? 내로남불 민국 답네요,1
댓글알바 작작쓰렴,1
차화연 과한 오바연기 민망해 못보겠다,1
응 학폭레기 감성팔이 집어쳐~,2
근데 황우슬혜는 성이 황우임 ? 황우씨가 있나,0
유지보단 안해준단거죠 유책배우자가 좋아서 글겠습니까 이혼해줌 돌씽이라고 지만 신나서 다닐껀데 왜 당한사람이 쿨하게 보내줍니까 그럴이유도 없는거지,0
빛투 물타기냐.한고은 너무 연얘경력화려해서.한참놀다가먼눔의 애,2
닥쳐 이련아. 너가 제일 많이 했을거 같아,2
한심하게 드라마나 처보고 앉아있을때나요? 조국 후보자님 우리손으로 지켜야합니다. 국민청원에 서명해주세요. 이대로가면 토착왜구에 나라 먹힙니다,2
맨날 같은 스토리에 막장이 그러니 라이프온마스가 시청률 최고찍지 ㅡㅡ 공영방송국들아 언제까지 막장드라마 찍을까? 수신료아깝다 ㅡㅡ,1
솔직히 누군지 모르겠다. 모르면서 아는척~ 난 음악적 스펙트럼 넓어~ 하는 놈들 개극혐,0
연대 정치외교학과에 하버드 로스쿨. 엄청난 학력이라고 본다. 정치했으면 큰일 했을 분이라고 본다.,0
근데 진짜 아빠랑 딸같긴한데..? 부부인것 뿐이지 외모로 보면..,1
"죄가 있는지 없는지는 조사관들이 알아서 하는거고....니들 연예계에 몸담고 있는 애들이 판단할 기다 아니다를 판단할 시기는 지난듯하다. 이번에 한국 연예계 탈세, 마약, 성매매 등등 각종범죄 조사 다 들어갈테니.",0
재균아 노래방도우미 불렀냐 않불렀냐,2
뭐 그럼 어떤말이 좋은 충고임!! 쳐맞고 살던가! 자살하던가! 죽이던가! 독립하던가! 맞는말 했구만,2
언제부터 혼전임신이 경사가됬냐 ㅎ 밥은먹고다니냐 보니 살림기본이 안되어있더만 ㅉ,1
개티즌들 마녀사냥 역겹다진짜,2
뭐 키스를 해 송소희 이논 한복입고 조신한척 하더니 호박씨 깠네 국악인의 수치다,2
위대한쇼가 더 잼나긴했어,0
유인나랑 헤어짐?,0
저놈도 결혼 하는데 요기서 악플다는 니네는 뭐다?,1
그냥조용히살어 연예인이 모라고 그리티비나올라하니,1
얘도 제정신은 아닌듯,1
클라라 한국 예능 프로그램과 드라마서 제발 자주 뵜으면.,0
비주얼이고 나발이고 와이지는 실력좋다는게 진심이해가 안간다. 한국말을 혀짧은소리로 랩하면 그냥 다 잘하는줄아나봄 라이브들으면 솔찍히 다른회사랑 별차이도 없다,1
동방신기 돈 많노;;,1
현무형 퐈이팅,0
솔직히 웬만한 천만영화보다 재밌다 ㅋㅋ,0
요즘 과하게 오픈하시네 ㅋㅋ,0
김민희배우좋은대.. 응원해주고싶다,0
재미만 있더만 다들악플이네,0
딸 예뻤는데??뭐징?,0
손승연 이길사람 없을듯,0
게스트별로여도 차태현땜에 볼듯,0
전처들이 많은가보네요...댓글들을 보니...가만생가해보세요..전처로서 전적으로 잘들 하셨는지...불륜이 불륜으로 끝나지 않고 이혼과 결혼으로 이어진 이유가 무엇인지..,1
ㅈㄹ병들 사기를치던 절도를하던 깜방서 있어봐라 하루라도 빨리 나오고 싶은게 인간에 본성이다죄는미워하고 사람은 똑같다,2
유이는 나날이 연기가 느는게 노력한 티가 남.. 특히 우는 연기랑 목소리 떠는 연기.. 악플량에 비해 연기가 좋아서 매번 놀란다,0
정말 이런건 안올리면 좋겠음 정말 가고픈이들도 많을텐데 능력이안돼 못가면 얼마나 자괴감들겠어 응 누가 궁금하다고,1
연습생 시절은 지냈나?부모이름으로 합류한건 아니고?엄마에 이어 딸까지 생계얘기네,1
백종원 중국집 가봤더니 맛없더라.. 좀 본인 체인점부터 신경쓰시지,2
이름 딱 듣고 알만한 사람 아니면.. 왠만하면 부고 내지 말지? 정보 홍수 시대에 대체...,2
우리나라 3대핑크...에이핑크.블랙핑크.자이언트 핑크,0
장신영이 관리해야 강경준이 아저씨같지,1
팩트 : 남자들은 설리가 찌찌를 보이던 말던 이쁘니까 좋아함. 여자들은 설리가 마치 끼부린다 생각하면서 여적여를 시전함.,2
머리. 누가 그렇게 해줬나요?? 이상해.,1
프듀 안보고 팬 된거니 상관없다 나는,0
예쁨과인성은 공존 해야 합니다,0
누구처럼 돈만 밝히는 저급인생은 살아가지마시길~~ 행복은 머니순이 아니니깐 작은거에 감사하고 항상 좋은일만 가득하길~,1
재미에 몰입감 최고던데.너무 비꼬는 분들이 많네요.드라마로써 재미있음 된거지..,0
왜 로또를 사지 않을까요 ㅋ 번호 기억 해서 과거로 간 후 로또 사면 1등 되고 .. 좋을텐데...,0
김희철 공익새기,1
군대부터 가야지,0
강다니엘 개발리는데;;;,1
폭력에도 양쪽말이 다 필요하냐,0
조개탕이 땡기는 날이네요,2
21C에 주술사랑 ...,0
괜시리 눈물이난다.. 보고싶은 사랑하는 이들 볼 수있는 날이 오길 기도할게요.,0
왜 없나요? 난 김수민아나운서 더 좋이ㅣ졌는데...할말하는 연예인 공인 사람들이 좋아요~~,0
♨ 충격 ! 결국 하나경이 맞았네. 강은비 그렇게 안봤는데 ..,1
지금 드라마나 보고 있을 때가 아니다. 82kg김지영보다 더 현실을 고발하는 주제가 있다 꼭 봐야 한다 링크:https://m.ilbe.com/view/11207994540,2
솔까말 1위 2위 이해안됨3위 4위가 더 잘했다,0
그냥 예능으로 좀 봐라 ㅡㅡ,0
브리라슨이 아이유고 수지도 다 쌈싸먹네 존예,0
정말 많이 달라졌네 더 못생겨졌다,1
근데 왜 이렇게 오바하고 흥분하는 사람들이 많지~~~~~~,0
애 사진을 꼭 저렇게 수영복입은걸 올려야겠냐??? 기자넘아??,2
심하고나쁘죠...얼굴을 그렇게 만들어놓으니 눈에 뵈는게 없었나봐요...,1
이명박이랑 너무 비교된다,0
52도 빼야되냐,0
좀 즐길수도 있지 못즐기는것들이 호구 아닌가? 뭔 잘못이 있다고 이리들 까댐?정준영도 이종현도 승리도 아무 잘못없음! 지들은 못즐기니까 배 아파서 그러는거임,2
전라도랑은살기힘들지 차라리 강아지랑살지,2
이수근 흥해라~~~~,0
와 신동엽 다시봣다아,0
천만원 기부하고 진짜 언플 쩔게 하네,0
결혼해서 더 느끼는거~~~ 친구들과의 시간이 넘 좋다는거~~,0
담배피는 여자연예인들 아갈똥네,2
엠블랙도 참 불쌍하다 한창 잘나갈수 있는되 팀이 공중분해되고 회사 없어지고,0
여주가 좀 아쉽네 요즘 최고 대세 갓설현이 여주였으면 시청율 50%는 따논 밥상이었을텐데,0
재밌는데 신선하고 연기좋고 대만족,0
부모 잘못을 왜 아들에게서 따지나? 나라 팔아먹은거 아닌 이상 좀 구분하자,1
풀려나면 똑약할려고하냐?그냥 나와서 죽어라,2
자살이 면죄부는 아니다. 노무현 조민기,2
82키로 김지영 왜보냐...? 저런 쓰레기 영화 안봄 ㅋ,2
쿵쾅이들아 니네가 알아야할게 눈코입 윤곽 다해도 겨우중타치든가 다해도 했나싶을정도의 얼굴이 될수도있어 니네들도 알고있어서 안하는거아니냐? 해도 크게변화가없을꺼같으니까? 그니까 남 비하할시간에 몸매라도 가꾸렴^^,2
솔까 노잼,1
이걸한번 봐바야겠네 한지혜숨소리 듣느리 안보는게낫다싶어 심심했는데 김정수작가라 기대해보네요,0
산이는 좋겠네. 한남들 사랑 듬뿍받아서~ 한남한남,1
SE$ 아닌가요 이제 Sea Eugene $hoo,2
장도연 양세형 추가 투입 케미 좋아요 나래와 좋아요,0
악플 캡쳐 완료,0
재미가 없어요,0
업소 여자라며 업소여자는 뭐하는 사람인데? ㅋ 그리고 왜 변호사가 하필 강용석인데 ㅋ,2
현재 우리 나라 가요계 최고 갑부 나훈아 선생도 세금은 꼬박꼬박 낸다^^,0
뽕빤넘들 처럼 생기고 말하는거 보니까 양아치스럽던데 그걸 멋으로 알거아냐?ㅋㅋㅋ잔나비인지 잔잔바리인지 뭐시깽이들 꺼져라,2
별세를 했군여 ㅋㅋ,2
이게 빠진 몸매여?,1
이제 곧 만날텐데,0
황민현 예능 나들이 늘 환영해요! 스윗한 황민현 너무 좋아요,0
로이킴을위해서라도 정준영 로이킴 먼지가되어 영상도 삭제해야함 흑역사임 ㅠㅠ,0
전교8등이대단한거냐 1등부터7등은 머 세상다가진거냐 호들갑 졸떨어 그지딴따라들 돈맛 여자맛 남자맛만아는 족속들,2
"나 너무 옛날 사람인가봄..ㅠ아기 셋 낳은 사람으로서,,임산부가 배내놓고 있는거 쫌~;;;가서 천이라도 덮어주고 싶은 마음..아기 가진 배는 따뜻해야 하는뎅,,",1
연기도 못한것이 연애는 하네 들어가서 그만 나오세요,1
머같은 프로그램이 배우하나 바보만드네....S방송사 예능은 이제 갈때까지 갔네..,1
국민들은 이미 당신을 용서했습니다. 그래도 충분히 자숙하고 재충전하셔서 좋은 작품으로 뵙길 기다리겠습니다.,0
쇼미재방이 더 재밌음,0
이번 대통령때는 특히나 연예인이 많이 죽는 거같다... 재앙이 닥쳤구만,2
딸도 죄가 있지. 악마의 씨앗에서 태어난것도 문제가 되고...,2
‘그’ 성별 72% 산이를 향한 피의 쉴드 오지네. ㄷㄷ,1
52키로 딱 좋앙~~~,0
강성훈.. 자살할거 같은 기분ㅠ 꼭 건강 잘 추스려서 다시 좋은 모습으로 나오길 응원합니다,1
애기랑 꼭 나와주세요. 나~중에요^^,0
김지원 저런 분장은 ㅎㅎ 그래도 이쁘긴 하지만,0
넘재밌었음강문영씨화이팅 김광규씨화이팅최성국시나오디마,0
무슨 연예인 부모소식까지 연예뉴스에 올려.,1
그래 한번사는인생 한여자랑 평생을 같이사는건 남자한텐 너무 억울하지,1
문돼지 그만 처무ㄱ처무ㄱ 하고 니딸 이나 잘챙겨먹이길,2
별 시덥지않은 악플들은 모냐,0
뚱뚱하고 못생긴 남자는 남자가 아니다. 남잔 늘 아름다움을 유지하고 가꿔야 그게 진정한 남자다.,1
이성우 이모들보는거 개짱남ㅡ왜 그집식구들까지 다 봐야하노ㅠ,0
효리 언니는 진짜 좋은 사람 같다,0
